episode,reward
0,0.039
1000,0.02
2000,0.014
3000,0.039
4000,0.019
5000,-0.025
6000,0.022
7000,-0.031
8000,0.039
9000,-0.018
10000,0.024
11000,-0.001
12000,0.019
13000,0.027
14000,0.046
15000,0.053
16000,0.019
17000,0.038
18000,0.043
19000,0.062
20000,0.044
21000,0.042
22000,0.061
23000,0.091
24000,0.084
25000,0.099
26000,0.055
27000,0.118
28000,0.132
29000,0.054
30000,0.119
31000,0.131
32000,0.083
33000,0.143
34000,0.121
35000,0.146
36000,0.118
37000,0.137
38000,0.173
39000,0.152
40000,0.131
41000,0.154
42000,0.143
43000,0.121
44000,0.126
45000,0.123
46000,0.111
47000,0.12
48000,0.08
49000,0.098
50000,0.116
51000,0.105
52000,0.162
53000,0.139
54000,0.136
55000,0.156
56000,0.133
57000,0.123
58000,0.123
59000,0.095
60000,0.11
61000,0.174
62000,0.151
63000,0.12
64000,0.117
65000,0.143
66000,0.098
67000,0.163
68000,0.111
69000,0.1
70000,0.139
71000,0.099
72000,0.156
73000,0.151
74000,0.152
75000,0.121
76000,0.145
77000,0.172
78000,0.116
79000,0.116
80000,0.117
81000,0.107
82000,0.133
83000,0.165
84000,0.152
85000,0.158
86000,0.13
87000,0.187
88000,0.141
89000,0.137
90000,0.152
91000,0.155
92000,0.156
93000,0.127
94000,0.128
95000,0.151
96000,0.177
97000,0.113
98000,0.139
99000,0.145
100000,0.168
