episode,reward
0,0.023
100,0.009
200,0.007
300,0.01
400,0.01
500,-0.011
600,0.001
700,0.039
800,0.043
900,0.037
1000,0.028
1100,0.017
1200,0.017
1300,0.052
1400,0.028
1500,-0.014
1600,0.015
1700,0.033
1800,0.065
1900,0.026
2000,0.07
2100,0.021
2200,0.076
2300,0.021
2400,0.001
2500,0.0
2600,0.008
2700,0.025
2800,0.017
2900,0.026
3000,0.045
3100,0.011
3200,0.027
3300,0.022
3400,0.053
3500,0.06
3600,0.03
3700,-0.013
3800,0.007
3900,0.019
4000,0.012
4100,-0.021
4200,0.002
4300,0.045
4400,0.058
4500,0.065
4600,0.017
4700,-0.003
4800,-0.007
4900,0.008
5000,0.01
5100,0.002
5200,-0.002
5300,-0.008
5400,-0.013
5500,0.019
5600,0.086
5700,0.082
5800,0.013
5900,-0.025
6000,0.018
6100,0.041
6200,0.04
6300,0.037
6400,0.024
6500,0.062
6600,0.024
6700,-0.021
6800,-0.03
6900,-0.008
7000,-0.054
7100,0.02
7200,0.005
7300,0.035
7400,0.029
7500,0.025
7600,0.018
7700,0.026
7800,0.014
7900,0.033
8000,0.017
8100,-0.022
8200,0.012
8300,0.033
8400,0.037
8500,0.033
8600,-0.003
8700,0.001
8800,0.023
8900,-0.028
9000,-0.021
9100,-0.011
9200,-0.016
9300,0.014
9400,-0.052
9500,0.014
9600,0.019
9700,-0.044
9800,0.021
9900,0.021
10000,0.018
10100,-0.01
10200,0.025
10300,0.028
10400,0.021
10500,-0.018
10600,-0.007
10700,-0.02
10800,0.01
10900,0.059
11000,-0.014
11100,0.015
11200,0.014
11300,0.083
11400,-0.013
11500,0.031
11600,0.032
11700,0.031
11800,0.05
11900,0.047
12000,0.048
12100,0.008
12200,0.029
12300,0.039
12400,-0.019
12500,0.032
12600,0.022
12700,-0.001
12800,0.028
12900,0.007
13000,-0.02
13100,0.015
13200,0.021
13300,0.024
13400,0.063
13500,0.041
13600,-0.036
13700,0.022
13800,0.027
13900,0.064
14000,0.046
14100,0.016
14200,-0.02
14300,-0.005
14400,0.032
14500,0.063
14600,0.039
14700,0.024
14800,-0.009
14900,0.067
15000,0.024
15100,0.011
15200,0.071
15300,0.031
15400,0.034
15500,0.046
15600,0.048
15700,0.043
15800,0.098
15900,0.015
16000,0.063
16100,0.092
16200,0.06
16300,0.046
16400,0.0
16500,0.08
16600,0.06
16700,0.052
16800,0.041
16900,0.028
17000,0.0
17100,0.055
17200,0.038
17300,0.037
17400,0.034
17500,0.057
17600,0.071
17700,0.048
17800,0.015
17900,0.048
18000,0.041
18100,0.059
18200,0.039
18300,0.034
18400,0.039
18500,0.089
18600,0.045
18700,0.031
18800,0.064
18900,0.029
19000,0.019
19100,0.04
19200,0.069
19300,0.056
19400,0.048
19500,0.018
19600,0.032
19700,0.018
19800,0.044
19900,0.073
20000,0.061
20100,0.037
20200,0.024
20300,0.016
20400,0.042
20500,0.03
20600,0.028
20700,0.07
20800,0.023
20900,0.053
21000,0.059
21100,0.051
21200,0.044
21300,0.016
21400,0.024
21500,0.014
21600,0.073
21700,0.055
21800,0.045
21900,0.069
22000,0.073
22100,0.038
22200,0.059
22300,0.063
22400,0.062
22500,0.086
22600,0.066
22700,0.067
22800,0.065
22900,0.081
23000,0.107
23100,0.055
23200,0.053
23300,0.063
23400,0.086
23500,0.058
23600,0.05
23700,0.086
23800,0.076
23900,0.049
24000,0.052
24100,0.084
24200,0.022
24300,0.068
24400,0.069
24500,0.092
24600,0.049
24700,0.083
24800,0.047
24900,0.008
25000,0.097
25100,0.073
25200,0.031
25300,0.078
25400,0.076
25500,0.129
25600,0.079
25700,0.108
25800,0.042
25900,0.057
26000,0.068
26100,0.039
26200,0.067
26300,0.077
26400,0.055
26500,0.107
26600,0.069
26700,0.045
26800,0.051
26900,0.048
27000,0.083
27100,0.057
27200,0.091
27300,0.106
27400,0.096
27500,0.034
27600,0.119
27700,0.047
27800,0.11
27900,0.121
28000,0.087
28100,0.074
28200,0.108
28300,0.061
28400,0.081
28500,0.107
28600,0.049
28700,0.062
28800,0.076
28900,0.056
29000,0.102
29100,0.093
29200,0.047
29300,0.079
29400,0.082
29500,0.084
29600,0.057
29700,0.083
29800,0.097
29900,0.115
30000,0.058
30100,0.106
30200,0.104
30300,0.089
30400,0.102
30500,0.14
30600,0.113
30700,0.1
30800,0.118
30900,0.155
31000,0.099
31100,0.092
31200,0.099
31300,0.085
31400,0.095
31500,0.089
31600,0.07
31700,0.116
31800,0.104
31900,0.095
32000,0.091
32100,0.101
32200,0.097
32300,0.11
32400,0.087
32500,0.134
32600,0.101
32700,0.116
32800,0.108
32900,0.141
33000,0.073
33100,0.056
33200,0.149
33300,0.074
33400,0.109
33500,0.118
33600,0.097
33700,0.104
33800,0.137
33900,0.105
34000,0.122
34100,0.078
34200,0.121
34300,0.08
34400,0.131
34500,0.048
34600,0.131
34700,0.133
34800,0.125
34900,0.118
35000,0.062
35100,0.1
35200,0.097
35300,0.094
35400,0.143
35500,0.125
35600,0.135
35700,0.133
35800,0.085
35900,0.114
36000,0.105
36100,0.109
36200,0.145
36300,0.124
36400,0.139
36500,0.138
36600,0.087
36700,0.083
36800,0.121
36900,0.085
37000,0.113
37100,0.101
37200,0.063
37300,0.123
37400,0.116
37500,0.131
37600,0.125
37700,0.07
37800,0.139
37900,0.101
38000,0.056
38100,0.113
38200,0.071
38300,0.098
38400,0.074
38500,0.102
38600,0.098
38700,0.111
38800,0.083
38900,0.113
39000,0.063
39100,0.075
39200,0.09
39300,0.122
39400,0.094
39500,0.109
39600,0.064
39700,0.104
39800,0.111
39900,0.09
40000,0.125
40100,0.101
40200,0.134
40300,0.11
40400,0.1
40500,0.119
40600,0.112
40700,0.104
40800,0.095
40900,0.108
41000,0.11
41100,0.1
41200,0.087
41300,0.121
41400,0.152
41500,0.117
41600,0.111
41700,0.11
41800,0.127
41900,0.076
42000,0.094
42100,0.131
42200,0.124
42300,0.127
42400,0.093
42500,0.146
42600,0.114
42700,0.118
42800,0.137
42900,0.156
43000,0.13
43100,0.142
43200,0.113
43300,0.117
43400,0.158
43500,0.119
43600,0.131
43700,0.132
43800,0.16
43900,0.094
44000,0.084
44100,0.122
44200,0.133
44300,0.134
44400,0.075
44500,0.113
44600,0.115
44700,0.128
44800,0.121
44900,0.125
45000,0.152
45100,0.101
45200,0.105
45300,0.099
45400,0.095
45500,0.087
45600,0.131
45700,0.086
45800,0.089
45900,0.102
46000,0.1
46100,0.149
46200,0.111
46300,0.095
46400,0.147
46500,0.144
46600,0.091
46700,0.109
46800,0.137
46900,0.09
47000,0.164
47100,0.131
47200,0.114
47300,0.145
47400,0.078
47500,0.103
47600,0.133
47700,0.079
47800,0.116
47900,0.093
48000,0.119
48100,0.153
48200,0.114
48300,0.121
48400,0.114
48500,0.148
48600,0.123
48700,0.116
48800,0.146
48900,0.104
49000,0.144
49100,0.109
49200,0.168
49300,0.123
49400,0.122
49500,0.122
49600,0.154
49700,0.161
49800,0.111
49900,0.089
50000,0.098
