episode,reward
0,0.007
1000,0.005
2000,0.007
3000,0.013
4000,0.006
5000,0.036
6000,0.009
7000,0.012
8000,-0.005
9000,-0.013
10000,-0.005
11000,0.022
12000,0.018
13000,0.003
14000,0.051
15000,0.017
16000,-0.007
17000,-0.021
18000,-0.006
19000,-0.036
20000,0.017
21000,0.025
22000,0.004
23000,-0.035
24000,-0.005
25000,0.0
26000,0.009
27000,0.002
28000,0.004
29000,0.006
30000,0.0
31000,-0.032
32000,-0.04
33000,-0.001
34000,-0.003
35000,-0.002
36000,0.065
37000,-0.024
38000,0.029
39000,0.004
40000,-0.002
41000,0.004
42000,0.052
43000,0.028
44000,0.02
45000,0.02
46000,0.001
47000,0.035
48000,0.033
49000,-0.008
50000,0.02
51000,0.006
52000,0.013
53000,0.014
54000,0.046
55000,0.03
56000,-0.016
57000,0.012
58000,-0.038
59000,0.014
60000,-0.007
61000,0.03
62000,0.007
63000,0.014
64000,0.017
65000,0.008
66000,-0.027
67000,-0.041
68000,0.007
69000,-0.001
70000,0.006
71000,0.009
72000,0.015
73000,0.018
74000,0.023
75000,0.01
76000,-0.008
77000,0.011
78000,0.033
79000,0.005
80000,-0.004
81000,0.054
82000,0.048
83000,0.007
84000,0.003
85000,0.02
86000,0.029
87000,0.005
88000,-0.045
89000,0.037
90000,0.052
91000,0.027
92000,-0.005
93000,0.007
94000,-0.013
95000,-0.042
96000,0.012
97000,-0.021
98000,-0.061
99000,0.039
100000,-0.05
