episode,reward
0,-0.042
100,-0.009
200,-0.018
300,0.001
400,0.004
500,-0.012
600,-0.012
700,0.026
800,-0.009
900,-0.016
1000,0.021
1100,0.052
1200,0.004
1300,-0.017
1400,0.0
1500,0.018
1600,-0.046
1700,-0.017
1800,0.012
1900,-0.021
2000,0.018
2100,0.029
2200,0.008
2300,-0.006
2400,0.018
2500,0.017
2600,-0.014
2700,0.009
2800,0.054
2900,0.002
3000,0.043
3100,0.03
3200,0.015
3300,0.043
3400,-0.002
3500,0.008
3600,0.013
3700,0.016
3800,0.002
3900,0.05
4000,0.007
4100,0.043
4200,0.018
4300,0.065
4400,0.072
4500,0.024
4600,0.017
4700,0.017
4800,0.011
4900,-0.03
5000,-0.003
5100,0.034
5200,-0.011
5300,-0.025
5400,0.001
5500,0.02
5600,-0.009
5700,0.003
5800,0.01
5900,-0.007
6000,0.006
6100,0.024
6200,0.058
6300,0.013
6400,-0.019
6500,0.018
6600,0.056
6700,0.003
6800,0.01
6900,0.041
7000,0.013
7100,-0.022
7200,0.019
7300,0.031
7400,-0.052
7500,-0.002
7600,-0.014
7700,0.046
7800,0.013
7900,0.01
8000,0.004
8100,0.023
8200,0.061
8300,-0.022
8400,-0.007
8500,0.028
8600,0.008
8700,0.022
8800,-0.001
8900,0.022
9000,0.008
9100,0.022
9200,0.006
9300,0.042
9400,-0.015
9500,0.001
9600,-0.023
9700,0.016
9800,-0.043
9900,0.019
10000,-0.001
10100,0.036
10200,0.016
10300,0.006
10400,0.017
10500,-0.021
10600,0.007
10700,0.022
10800,0.019
10900,-0.002
11000,0.025
11100,-0.011
11200,0.018
11300,-0.006
11400,-0.007
11500,0.02
11600,0.02
11700,-0.008
11800,-0.031
11900,0.003
12000,-0.001
12100,0.014
12200,0.014
12300,-0.052
12400,-0.008
12500,0.008
12600,0.006
12700,-0.008
12800,-0.02
12900,0.028
13000,0.045
13100,-0.02
13200,0.028
13300,0.011
13400,0.013
13500,-0.033
13600,0.011
13700,0.074
13800,0.009
13900,-0.011
14000,0.042
14100,0.033
14200,0.018
14300,-0.014
14400,0.001
14500,0.059
14600,0.002
14700,-0.028
14800,-0.005
14900,-0.044
15000,-0.009
15100,0.019
15200,-0.012
15300,0.055
15400,-0.009
15500,-0.007
15600,-0.01
15700,0.015
15800,0.047
15900,0.009
16000,-0.01
16100,-0.01
16200,-0.021
16300,-0.016
16400,0.001
16500,0.016
16600,-0.013
16700,0.009
16800,0.036
16900,0.016
17000,-0.045
17100,-0.003
17200,0.012
17300,0.026
17400,0.027
17500,0.007
17600,-0.003
17700,0.047
17800,0.021
17900,0.026
18000,-0.014
18100,0.017
18200,0.007
18300,0.061
18400,0.042
18500,-0.023
18600,0.03
18700,0.001
18800,-0.019
18900,0.005
19000,0.039
19100,0.018
19200,0.037
19300,0.027
19400,0.044
19500,0.046
19600,-0.001
19700,-0.015
19800,-0.001
19900,0.004
20000,0.012
20100,0.004
20200,0.034
20300,-0.005
20400,-0.011
20500,0.026
20600,-0.028
20700,-0.006
20800,-0.028
20900,0.02
21000,0.024
21100,0.012
21200,0.028
21300,0.022
21400,0.032
21500,0.009
21600,0.002
21700,0.011
21800,0.019
21900,0.011
22000,0.019
22100,0.003
22200,0.027
22300,0.046
22400,0.007
22500,0.032
22600,0.043
22700,0.054
22800,0.031
22900,0.002
23000,-0.006
23100,0.035
23200,0.002
23300,0.02
23400,0.015
23500,0.012
23600,-0.005
23700,0.01
23800,0.0
23900,0.028
24000,-0.005
24100,0.013
24200,0.001
24300,0.007
24400,0.011
24500,0.003
24600,0.003
24700,0.005
24800,-0.016
24900,0.023
25000,0.033
25100,-0.065
25200,0.006
25300,0.022
25400,0.03
25500,0.022
25600,0.006
25700,0.035
25800,-0.017
25900,-0.046
26000,0.04
26100,-0.026
26200,0.039
26300,-0.023
26400,0.006
26500,0.013
26600,0.028
26700,-0.014
26800,0.023
26900,0.021
27000,-0.013
27100,0.041
27200,-0.004
27300,0.037
27400,-0.016
27500,0.014
27600,0.023
27700,0.041
27800,0.04
27900,-0.031
28000,0.001
28100,0.01
28200,-0.003
28300,-0.015
28400,0.018
28500,0.021
28600,-0.006
28700,0.013
28800,0.026
28900,-0.006
29000,0.025
29100,-0.008
29200,0.025
29300,0.017
29400,0.0
29500,0.015
29600,-0.026
29700,0.022
29800,0.004
29900,-0.009
30000,-0.029
30100,-0.006
30200,-0.018
30300,0.008
30400,0.016
30500,0.007
30600,0.015
30700,0.002
30800,-0.01
30900,0.049
31000,-0.027
31100,0.021
31200,0.01
31300,0.013
31400,0.018
31500,-0.01
31600,0.022
31700,0.009
